,year,mean_avg_area,mean_wgt_avg_area,median_avg_area,mean_t_duration,mean_wgt_t_duration,median_t_duration,MHWS_nstart,MHWE_nstart
0,1983,8159.692690566646,50742.22499755476,2483.9801794306363,9.301990859904397,22.837883322377063,6.0,18793,1363541
1,1984,8556.535334868071,32932.57482677078,2648.4223276228267,9.545221330713389,25.161083035244587,6.0,17922,1153405
2,1985,7279.728436995521,28537.27604435042,2249.031562961025,9.875708647290994,28.74433904364721,6.0,13567,824325
3,1986,6664.1507918468415,26542.695052922507,2204.637990475343,9.582808343833124,29.849968811159208,6.0,14010,838311
4,1987,8217.837083260405,36922.45787222649,2307.7917197731,9.324040669071827,25.285332240924138,6.0,17941,1112844
5,1988,8334.899535261125,30814.664006411786,2387.282672763173,9.462487153134635,23.83515879526667,6.0,18059,929110
6,1989,7335.260443680703,28338.11634808898,2298.8625676924667,9.726008436593725,26.8279969909084,6.0,14870,801756
7,1990,7840.482971452249,26422.97754091245,2278.9762789525207,9.616633437767018,24.531670856195863,6.0,17254,904634
8,1991,8074.319696095518,40228.333888364265,2332.7531589395217,9.397564635272392,24.807765687388134,6.0,16988,1093437
9,1992,7255.49071707683,36354.326991101734,2289.036091264338,9.399682517772103,26.45477725266896,6.0,14136,1090333
10,1993,7088.333734388956,39935.382063925375,2272.131506707053,9.669880129384158,27.18647092022922,6.0,15409,982617
11,1994,8128.200833120554,31852.48887485366,2288.066470470584,9.882835493769178,26.484059288001113,6.0,15696,899524
12,1995,8935.743428401693,33428.84024001087,2823.505080683427,10.038940809968848,29.358615206565727,6.0,15612,916651
13,1996,8688.968721142754,42911.80072920795,2434.251792517154,9.882331422997195,28.0395240781078,6.0,16085,896058
14,1997,8187.550531836817,58737.134332505244,2306.9719310091364,9.784240574303318,28.48655556888121,6.0,17358,1201216
15,1998,8391.868676273822,76549.18775185755,2281.6044299470377,9.61192878011135,34.54464392802563,6.0,17761,1621794
16,1999,8307.261413973154,39053.66561762276,2353.3046980322106,9.881442006269593,34.744162011306386,6.0,15559,962520
17,2000,7777.104615864827,36152.325135645544,2316.3023346643013,9.713318284424378,31.12289455987813,6.0,17344,1088138
18,2001,8116.664686580037,42694.68726327092,2376.7100426943502,9.791463034210253,33.618438235749586,6.0,18863,1265362
19,2002,8438.901915437775,43596.621725232035,2401.2162028125585,9.722449606057506,29.995776211343227,6.0,19158,1389803
20,2003,8186.172897069933,41749.64664519039,2371.4046313103017,9.87674660120846,28.438601254436733,6.0,20763,1367453
21,2004,7708.792580120706,40237.51783347966,2299.55521877032,9.520367576464134,29.055245531462404,6.0,21402,1199070
22,2005,7574.880984341099,44386.46331725295,2238.805828145903,9.265625,26.56612672646276,6.0,24325,1908177
23,2006,7767.107612080045,44284.18130673978,2220.980168232197,9.405689576695494,26.70254322257493,6.0,21497,1584650
24,2007,8493.472671621867,43191.63740727805,2265.8682586625296,10.527596342259962,32.69871853897782,7.0,17913,1252889
25,2008,8440.375676599513,59016.445923010106,2240.2507278467547,10.852951348858658,36.393503757962165,7.0,16972,1221334
26,2009,9188.04179345767,73151.85878911665,2292.589785485905,10.676565314700584,38.649844463391425,7.0,17936,1413805
27,2010,7910.764758837136,97423.97009919287,2122.2842852315284,10.487923840865017,45.645125630002426,6.0,16532,1660004
28,2011,9269.038773414295,131370.43285024018,2207.17988272602,10.688551633124382,53.57791078139046,7.0,14900,1312937
29,2012,9632.321321851494,105086.1785505591,2193.72930700788,10.985806091086896,50.79957471844558,6.0,17495,1500298
30,2013,8564.72858145194,82757.81006081856,2197.9665569353842,11.337479355904211,52.37953839420774,7.0,18930,1399312
31,2014,7600.28986868033,76765.57869944395,2139.1172815791206,10.991268169911141,52.73726520532722,6.0,19017,1698911
32,2015,7235.140191514969,84125.84005644491,1968.0321243506924,10.638225843470277,51.15974369744753,6.0,16994,1962719
33,2016,6920.926992476102,85023.96866455552,1959.3311101548575,10.164209341586945,45.3807330432233,6.0,17515,2285334
34,2017,6872.821195397237,76923.99752674557,1998.541219278451,10.151119585411166,40.372174348682634,6.0,20007,2069551
35,2018,7161.31045354665,79993.82287953947,1975.7972993208562,10.92503114674178,47.19087594928083,6.0,18025,1766851
36,2019,6782.881437270728,77364.03131000252,1977.9442697909944,10.467731135719804,44.678039929996395,6.0,18934,2095850
